 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,227.012,255,106.700,0.251,49.912,57887.950,19635,18119,0,93.945,5.151,9.453,0.106,0.911
2,235.856,255,60.046,0.822,21.719,60143.325,20400,36982,4,18.435,15.453,1.332,0.751,0.884
3,268.286,255,70.592,0.677,23.036,68413.032,23205,20120,10,26.565,18.887,1.132,0.884,0.812
4,50.119,255,26.294,0.911,10.859,12780.457,4335,12037,2,108.435,6.868,1.754,0.570,0.829
5,47.171,255,23.866,1.000,10.012,12028.665,4080,28885,5,30.964,6.868,1.392,0.718,0.889
6,58.964,255,36.007,0.572,15.830,15035.831,5100,9162,3,130.601,6.815,2.938,0.340,0.702
7,114.980,255,46.309,0.674,15.358,29319.871,9945,4619,5,153.435,12.019,1.079,0.927,0.821
8,153.307,255,58.451,0.564,18.573,39093.161,13260,12115,12,123.690,15.453,1.342,0.745,0.748
9,91.394,255,36.596,0.858,13.843,23305.538,7905,17517,11,119.745,10.302,1.130,0.885,0.873
10,50.119,255,24.872,1.000,10.994,12780.457,4335,39983,11,128.660,6.868,1.497,0.668,0.919
11,79.601,255,35.001,0.817,14.159,20298.372,6885,31810,18,14.036,8.928,1.735,0.576,0.783
12,76.653,255,32.746,0.898,13.410,19546.581,6630,9969,18,140.194,8.585,1.113,0.898,0.929
13,50.119,255,26.294,0.911,10.994,12780.457,4335,21998,19,141.340,8.447,1.398,0.715,0.810
14,188.685,255,102.088,0.228,47.242,48114.660,16320,22696,45,70.907,7.236,9.705,0.103,0.674
15,76.653,255,85.751,0.131,30.377,19546.581,6630,39892,32,42.709,13.355,2.905,0.344,0.292
16,191.633,255,53.594,0.838,19.577,48866.452,16575,19521,23,142.125,15.203,1.217,0.822,0.861
17,47.171,255,23.866,1.000,9.713,12028.665,4080,19310,24,135.000,6.868,1.150,0.869,0.889
18,244.701,255,59.456,0.870,20.747,62398.700,21165,19116,38,65.556,18.212,1.077,0.929,0.865
19,64.860,255,31.151,0.840,13.410,16539.414,5610,5992,37,39.806,8.447,1.772,0.564,0.815
20,191.633,255,74.788,0.431,33.028,48866.452,16575,18118,50,81.027,8.585,4.262,0.235,0.793
21,209.322,255,59.040,0.755,20.676,53377.201,18105,16885,37,138.366,17.170,1.049,0.953,0.840
22,41.275,255,21.438,1.000,8.585,10525.082,3570,19878,45,126.870,6.868,1.020,0.981,0.933
23,56.016,255,27.717,0.916,10.444,14284.040,4845,9743,47,99.462,8.499,1.109,0.902,0.826
24,67.809,255,30.145,0.938,11.518,17291.206,5865,19422,52,26.565,10.302,1.103,0.907,0.807
25,306.613,255,70.592,0.773,23.916,78186.323,26520,27951,57,21.038,20.604,1.089,0.918,0.849
26,359.681,255,72.603,0.857,25.755,91718.571,31110,36229,63,53.130,20.604,1.194,0.837,0.881
27,58.964,255,33.162,0.674,13.843,15035.831,5100,35787,54,150.255,6.868,2.274,0.440,0.833
28,162.151,255,48.148,0.879,17.510,41348.536,14025,33377,60,168.690,14.570,1.088,0.919,0.840
29,50.119,255,26.294,0.911,10.012,12780.457,4335,14609,62,30.964,8.447,1.194,0.838,0.850
30,156.255,255,50.160,0.780,18.493,39844.953,13515,32964,69,158.199,14.080,1.266,0.790,0.809
31,132.669,255,48.148,0.719,17.926,33830.620,11475,4651,70,163.301,12.116,1.565,0.639,0.818
32,73.705,255,31.151,0.954,12.141,18794.789,6375,19393,71,171.870,8.585,1.195,0.837,0.862
33,170.996,255,51.166,0.821,19.577,43603.911,14790,487,70,105.255,13.736,1.368,0.731,0.847
34,215.219,255,62.890,0.684,20.959,54880.784,18615,20291,71,145.008,18.887,1.087,0.920,0.777
35,165.099,255,47.732,0.911,18.573,42100.328,14280,9587,82,33.690,14.348,1.260,0.794,0.875
36,380.318,255,80.894,0.730,27.149,96981.112,32895,27598,77,145.305,22.321,1.104,0.906,0.849
37,280.079,255,83.322,0.507,25.526,71420.199,24225,8144,77,137.726,21.176,1.197,0.835,0.712
38,672.190,255,295.818,0.097,139.175,171408.476,58140,18116,159,87.879,10.302,22.243,0.045,0.629
39,70.757,255,34.168,0.762,14.770,18042.998,6120,4564,86,54.462,8.585,1.567,0.638,0.842
40,442.230,255,88.768,0.705,32.260,112768.735,38250,6812,93,25.201,20.672,1.478,0.676,0.847
41,138.566,255,50.160,0.692,19.197,35334.203,11985,3274,87,116.565,13.334,1.517,0.659,0.777
42,67.809,255,29.728,0.964,12.141,17291.206,5865,34535,95,45.000,8.585,1.223,0.818,0.885
43,58.964,255,27.300,0.994,11.518,15035.831,5100,13098,100,26.565,6.868,1.403,0.713,0.909
44,47.171,255,23.866,1.000,10.012,12028.665,4080,18314,97,120.964,6.868,1.392,0.718,0.889
45,41.275,255,26.294,0.750,10.012,10525.082,3570,23812,100,120.964,6.868,1.112,0.899,0.800
46,53.068,255,30.734,0.706,12.141,13532.248,4590,16176,103,135.000,8.447,1.349,0.741,0.857
47,159.203,255,54.011,0.686,19.577,40596.744,13770,26456,108,15.255,14.590,1.242,0.805,0.755
48,126.773,255,46.309,0.743,18.573,32327.037,10965,23594,114,56.310,12.363,1.434,0.698,0.789
49,321.354,255,73.193,0.754,25.755,81945.280,27795,7289,110,143.130,20.042,1.104,0.905,0.862
50,82.550,255,33.579,0.920,13.077,21050.164,7140,11073,118,23.199,9.982,1.343,0.745,0.848
51,91.394,255,34.585,0.960,13.077,23305.538,7905,2104,125,66.801,10.302,1.152,0.868,0.899
52,67.809,255,40.447,0.521,18.493,17291.206,5865,36051,124,21.801,6.696,3.742,0.267,0.697
53,47.171,255,27.300,0.795,12.382,12028.665,4080,35484,127,56.310,6.516,2.137,0.468,0.842
54,79.601,255,37.013,0.730,14.670,20298.372,6885,8713,126,159.444,10.302,1.184,0.845,0.771
55,353.784,255,78.466,0.722,26.876,90214.988,30600,17159,129,153.435,22.269,1.226,0.815,0.803
56,386.214,255,164.044,0.180,34.555,98484.695,33405,35475,146,63.435,29.049,1.081,0.925,0.525
57,41.275,255,23.866,0.911,10.994,10525.082,3570,7052,128,128.660,6.868,1.597,0.626,0.848
58,50.119,255,32.573,0.594,13.843,12780.457,4335,12935,135,150.255,7.285,1.964,0.509,0.680
59,117.928,255,44.714,0.741,15.358,30071.663,10200,20896,140,26.565,13.031,1.040,0.961,0.800
60,221.115,255,57.445,0.842,22.321,56384.367,19125,22005,135,157.380,15.453,1.337,0.748,0.867
61,209.322,255,54.600,0.882,20.676,53377.201,18105,14997,141,131.634,15.453,1.185,0.844,0.899
62,173.944,255,58.451,0.640,19.577,44355.702,15045,31254,142,127.875,15.453,1.160,0.862,0.781
63,191.633,255,58.451,0.705,20.959,48866.452,16575,26500,143,124.992,16.500,1.250,0.800,0.823
64,106.135,255,42.875,0.726,16.198,27064.496,9180,8334,144,122.005,11.112,1.618,0.618,0.800
65,41.275,255,22.443,1.000,9.713,10525.082,3570,18314,149,45.000,6.868,1.239,0.807,0.933
66,256.494,255,85.161,0.444,25.352,65405.866,22185,21432,158,28.301,21.239,1.271,0.787,0.659
67,117.928,255,42.875,0.806,15.830,30071.663,10200,1070,150,139.399,12.019,1.238,0.808,0.851
68,182.789,255,55.606,0.743,20.024,46611.077,15810,19737,150,120.964,16.125,1.123,0.890,0.821
69,209.322,255,57.028,0.809,20.676,53377.201,18105,21000,164,48.366,16.998,1.236,0.809,0.861
70,327.250,255,86.756,0.546,30.571,83448.864,28305,4984,170,51.843,20.604,1.110,0.901,0.784
71,120.876,255,42.875,0.826,16.198,30823.454,10455,9359,158,147.995,12.286,1.276,0.784,0.837
72,162.151,255,53.594,0.709,18.573,41348.536,14025,8344,166,33.690,13.736,1.193,0.838,0.815
73,41.275,255,37.430,0.370,17.170,10525.082,3570,771,160,126.870,5.715,4.506,0.222,0.538
74,132.669,255,50.160,0.663,18.573,33830.620,11475,25285,170,33.690,12.488,1.497,0.668,0.750
75,268.286,255,65.146,0.794,22.908,68413.032,23205,19342,174,12.995,19.197,1.083,0.924,0.824
76,79.601,255,33.579,0.887,12.500,20298.372,6885,21103,167,164.055,10.302,1.091,0.917,0.818
77,129.721,255,44.298,0.831,16.911,33078.829,11220,5336,170,156.038,12.019,1.465,0.682,0.854
78,50.119,255,32.573,0.594,13.410,12780.457,4335,6442,168,129.806,8.447,1.747,0.573,0.654
79,85.498,255,37.013,0.784,13.843,21801.955,7395,17569,174,29.745,11.190,1.068,0.936,0.795
80,117.928,255,63.480,0.368,28.318,30071.663,10200,38451,185,75.964,7.496,4.925,0.203,0.690
81,135.617,255,51.582,0.641,17.678,34582.412,11730,14578,171,150.945,14.396,1.084,0.923,0.760
82,56.016,255,26.294,1.000,10.859,14284.040,4845,8808,172,108.435,6.868,1.491,0.671,0.884
83,147.410,255,45.304,0.903,16.998,37589.578,12750,4028,176,135.000,13.736,1.238,0.808,0.855
84,395.059,255,78.466,0.806,26.876,100740.070,34170,4215,182,153.435,23.804,1.053,0.950,0.845
85,336.095,255,72.603,0.801,24.584,85704.238,29070,16412,185,24.775,22.018,1.143,0.875,0.823
86,106.135,255,37.430,0.952,14.670,27064.496,9180,19007,184,20.556,12.019,1.195,0.837,0.847
87,176.892,255,55.017,0.734,21.719,45107.494,15300,20267,181,108.435,13.574,1.656,0.604,0.828
88,47.171,255,47.315,0.265,19.577,12028.665,4080,38457,192,74.745,5.151,4.101,0.244,0.615
89,182.789,255,57.445,0.696,20.097,46611.077,15810,7624,184,109.983,15.453,1.257,0.795,0.810
90,147.410,255,44.298,0.944,16.198,37589.578,12750,13340,192,32.005,13.736,1.020,0.981,0.862
91,61.912,255,31.151,0.802,11.518,15787.623,5355,34316,186,153.435,9.578,1.167,0.857,0.764
92,150.358,255,50.160,0.751,18.573,38341.370,13005,37547,187,146.310,13.113,1.233,0.811,0.823
93,247.649,255,60.879,0.840,22.908,63150.491,21420,14882,194,12.995,17.170,1.237,0.809,0.844
94,229.960,255,60.290,0.795,22.908,58639.742,19890,8164,188,102.995,16.998,1.205,0.830,0.834
95,291.872,255,69.169,0.767,22.387,74427.365,25245,2108,199,32.471,19.965,1.073,0.932,0.861
96,53.068,255,29.312,0.776,13.077,13532.248,4590,14087,189,156.801,5.151,2.199,0.455,0.947
97,41.275,255,27.717,0.675,13.410,10525.082,3570,32128,195,50.194,5.495,3.193,0.313,0.737
98,259.442,255,72.603,0.618,25.526,66157.658,22440,6947,199,19.654,17.170,1.256,0.796,0.782
99,173.944,255,50.577,0.855,17.926,44355.702,15045,2660,202,73.301,15.784,1.077,0.929,0.825
100,50.119,255,26.294,0.911,11.518,12780.457,4335,19784,193,116.565,6.868,1.669,0.599,0.850
101,79.601,255,57.028,0.308,15.830,20298.372,6885,38451,194,130.601,11.945,1.110,0.901,0.607
102,106.135,255,40.447,0.815,15.358,27064.496,9180,36772,201,26.565,11.797,1.281,0.781,0.818
103,194.581,255,57.445,0.741,19.577,49618.243,16830,16576,206,52.125,16.163,1.169,0.855,0.815
104,168.048,255,51.166,0.807,18.573,42852.119,14535,6801,200,123.690,15.453,1.042,0.960,0.838
105,73.705,255,34.585,0.774,13.077,18794.789,6375,26067,210,66.801,10.302,1.028,0.973,0.794
106,61.912,255,36.596,0.581,16.911,15787.623,5355,43488,214,23.962,5.973,3.632,0.275,0.792
107,47.171,255,26.294,0.857,10.859,12028.665,4080,21882,214,18.435,6.868,1.320,0.758,0.821
108,103.187,255,38.435,0.878,15.358,26312.705,8925,10786,219,26.565,10.477,1.540,0.649,0.843
109,176.892,255,48.738,0.936,17.170,45107.494,15300,29121,218,143.130,15.453,1.007,0.993,0.889
110,44.223,255,26.294,0.804,12.141,11276.873,3825,15040,219,135.000,6.191,2.277,0.439,0.789
111,162.151,255,59.873,0.568,19.577,41348.536,14025,22346,228,15.255,15.453,1.070,0.934,0.714
112,330.199,255,75.032,0.737,25.526,84200.655,28560,8986,225,109.654,19.965,1.182,0.846,0.839
113,386.214,255,83.322,0.699,28.161,98484.695,33405,9881,239,52.431,24.038,1.104,0.906,0.821
114,277.131,255,68.753,0.737,25.526,70668.407,23970,25809,235,42.274,17.661,1.399,0.715,0.855
115,56.016,255,38.852,0.466,17.170,14284.040,4845,30832,237,53.130,6.815,3.370,0.297,0.613
116,126.773,255,42.875,0.867,15.358,32327.037,10965,24353,238,63.435,13.470,1.058,0.945,0.843
117,94.342,255,50.160,0.471,18.252,24057.330,8160,26308,231,138.814,10.477,1.720,0.581,0.696
118,44.223,255,22.860,1.000,9.247,11276.873,3825,20339,234,21.801,6.868,1.127,0.887,0.857
119,253.545,255,63.307,0.795,21.514,64654.074,21930,35180,240,28.610,18.174,1.098,0.911,0.847
120,56.016,255,38.019,0.487,16.289,14284.040,4845,4340,232,108.435,6.696,2.871,0.348,0.679
121,44.223,255,44.887,0.276,19.577,11276.873,3825,22587,233,164.745,5.151,4.008,0.249,0.536
122,244.701,255,74.026,0.561,25.526,62398.700,21165,23619,246,47.726,18.887,1.214,0.824,0.716
123,291.872,255,151.069,0.161,30.426,74427.365,25245,22512,255,73.610,25.716,1.216,0.823,0.496
124,185.737,255,49.154,0.966,17.926,47362.869,16065,30338,238,106.699,15.358,1.151,0.869,0.881
125,153.307,255,46.309,0.898,17.170,39093.161,13260,33712,240,143.130,13.736,1.192,0.839,0.867
126,256.494,255,67.330,0.711,24.763,65405.866,22185,16474,252,56.310,18.857,1.192,0.839,0.809
127,203.426,255,53.177,0.904,20.024,51873.618,17595,2625,243,149.036,15.453,1.103,0.906,0.896
128,274.183,255,71.598,0.672,23.854,69916.615,23715,12641,253,30.256,20.090,1.084,0.922,0.802
129,114.980,255,40.447,0.883,15.548,29319.871,9945,122,244,96.340,10.302,1.241,0.806,0.857
130,50.119,255,27.300,0.845,12.141,12780.457,4335,554,251,45.000,6.911,1.758,0.569,0.850
131,73.705,255,32.573,0.873,13.077,18794.789,6375,34480,248,113.199,9.215,1.523,0.656,0.806
132,79.601,255,54.600,0.336,23.100,20298.372,6885,41338,255,138.013,10.436,2.283,0.438,0.514
133,44.223,255,42.042,0.314,19.577,11276.873,3825,44322,269,74.745,5.028,5.649,0.177,0.652
134,79.601,255,34.585,0.836,13.077,20298.372,6885,16098,260,113.199,10.302,1.138,0.879,0.806
135,67.809,255,32.156,0.824,12.382,17291.206,5865,21967,275,56.310,9.774,1.287,0.777,0.807
136,82.550,255,35.591,0.819,15.830,21050.164,7140,38489,271,130.601,9.713,1.782,0.561,0.836
137,70.757,255,31.151,0.916,13.410,18042.998,6120,11176,277,140.194,9.215,1.519,0.658,0.842
138,76.653,255,32.156,0.932,12.141,19546.581,6630,27430,285,171.870,8.585,1.192,0.839,0.867
139,82.550,255,32.156,1.000,12.382,21050.164,7140,11104,290,56.310,10.302,1.123,0.890,0.889
140,103.187,255,36.007,1.000,14.159,26312.705,8925,18961,284,104.036,10.302,1.307,0.765,0.886
141,347.888,255,84.745,0.609,26.821,88711.404,30090,19772,299,39.806,20.822,1.119,0.893,0.831
142,359.681,255,79.888,0.708,25.755,91718.571,31110,8440,300,53.130,22.269,1.074,0.931,0.847
143,123.824,255,45.304,0.758,18.573,31575.246,10710,908,299,56.310,10.927,1.905,0.525,0.816
144,117.928,255,45.304,0.722,16.198,30071.663,10200,1672,296,122.005,13.031,1.244,0.804,0.825
145,224.063,255,62.890,0.712,23.854,57136.159,19380,14491,301,149.744,16.191,1.309,0.764,0.822
146,583.744,255,120.335,0.507,49.437,148854.730,50490,4722,300,110.323,19.140,3.131,0.319,0.775
147,330.199,255,74.615,0.745,25.000,84200.655,28560,8486,312,15.945,20.604,1.146,0.872,0.839
148,492.350,255,241.879,0.106,113.532,125549.191,42585,18111,376,86.532,8.585,20.088,0.050,0.620
149,109.083,255,45.304,0.668,16.998,27816.288,9435,7524,321,45.000,12.286,1.240,0.807,0.740
150,70.757,255,33.579,0.789,13.077,18042.998,6120,11863,320,66.801,10.302,1.101,0.908,0.750
151,79.601,255,33.162,0.910,12.382,20298.372,6885,3029,319,33.690,10.302,1.092,0.916,0.871
152,462.868,255,101.326,0.567,37.066,118031.275,40035,4106,336,76.608,21.604,1.688,0.593,0.803
153,56.016,255,28.722,0.853,12.382,14284.040,4845,4747,321,56.310,8.447,1.471,0.680,0.826
154,112.032,255,39.025,0.924,14.770,28568.079,9690,9609,320,144.462,12.019,1.053,0.950,0.905
155,288.924,255,70.175,0.737,23.354,73675.573,24990,6583,328,107.103,18.887,1.063,0.940,0.848
