 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,215.219,255,58.451,0.792,20.889,54880.784,18615,8974,0,99.462,17.170,1.028,0.973,0.811
2,44.223,255,25.878,0.830,11.518,11276.873,3825,1369,4,26.565,5.151,2.247,0.445,0.909
3,58.964,255,27.717,0.965,11.518,15035.831,5100,25458,3,116.565,8.585,1.280,0.781,0.833
4,85.498,255,39.441,0.691,14.770,21801.955,7395,3360,8,144.462,10.302,1.434,0.698,0.806
5,103.187,255,41.869,0.740,18.493,26312.705,8925,23352,12,21.801,9.765,2.070,0.483,0.795
6,268.286,255,60.879,0.910,21.719,68413.032,23205,22309,8,108.435,18.212,1.103,0.906,0.875
7,353.784,255,78.466,0.722,25.755,90214.988,30600,27028,26,53.130,21.453,1.110,0.901,0.842
8,356.732,255,74.198,0.814,25.755,90966.779,30855,6468,26,53.130,20.604,1.197,0.836,0.896
9,76.653,255,32.573,0.908,12.500,19546.581,6630,31705,21,74.055,10.302,1.187,0.842,0.812
10,47.171,255,25.878,0.885,10.994,12028.665,4080,6672,15,141.340,6.868,1.576,0.635,0.889
11,153.307,255,49.743,0.779,17.170,39093.161,13260,12144,29,53.130,13.736,1.070,0.935,0.846
12,117.928,255,46.726,0.679,17.678,30071.663,10200,17060,22,150.945,12.141,1.268,0.788,0.769
13,103.187,255,38.435,0.878,14.770,26312.705,8925,15890,28,144.462,11.905,1.270,0.788,0.805
14,147.410,255,43.881,0.962,16.198,37589.578,12750,6639,35,32.005,13.736,1.087,0.920,0.893
15,368.525,255,80.477,0.715,25.755,93973.945,31875,23362,42,53.130,22.321,1.088,0.919,0.850
16,79.601,255,32.156,0.967,13.077,20298.372,6885,20080,37,23.199,8.585,1.296,0.772,0.900
17,433.386,255,82.906,0.792,28.422,110513.360,37485,35539,44,25.017,23.640,1.140,0.877,0.875
18,44.223,255,24.872,0.898,10.859,11276.873,3825,8590,39,161.565,5.151,1.775,0.563,0.909
19,200.478,255,54.011,0.864,20.097,51121.826,17340,7457,51,70.017,15.453,1.195,0.837,0.872
20,100.239,255,43.292,0.672,19.577,25560.913,8670,43952,49,37.875,8.499,2.736,0.365,0.791
21,120.876,255,46.726,0.696,15.830,30823.454,10455,28698,45,102.529,13.736,1.314,0.761,0.759
22,147.410,255,50.160,0.736,17.170,37589.578,12750,20936,55,53.130,13.736,1.084,0.923,0.820
23,47.171,255,27.717,0.772,13.410,12028.665,4080,20500,48,140.194,6.191,2.541,0.394,0.762
24,114.980,255,50.160,0.574,16.998,29319.871,9945,11747,67,45.000,12.910,1.100,0.909,0.722
25,300.717,255,66.741,0.848,23.036,76682.739,26010,30699,61,153.435,18.887,1.103,0.906,0.872
26,285.976,255,67.330,0.793,25.352,72923.782,24735,2444,70,151.699,17.170,1.376,0.727,0.870
27,47.171,255,25.288,0.927,9.247,12028.665,4080,24099,69,111.801,8.447,1.076,0.929,0.821
28,126.773,255,42.459,0.884,15.830,32327.037,10965,39579,77,130.601,12.019,1.172,0.854,0.887
29,168.048,255,48.738,0.889,17.678,42852.119,14535,4682,77,119.055,15.203,1.157,0.864,0.864
30,41.275,255,23.866,0.911,9.713,10525.082,3570,19898,86,45.000,6.868,1.198,0.835,0.903
31,50.119,255,27.300,0.845,10.012,12780.457,4335,18148,84,120.964,8.585,1.129,0.886,0.850
32,41.275,255,24.872,0.838,10.012,10525.082,3570,4496,85,120.964,6.868,1.169,0.856,0.824
33,253.545,255,60.462,0.872,22.387,64654.074,21930,8686,86,147.529,17.170,1.156,0.865,0.891
