 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,10_Plate_001.tif,17.639,255.000,23625.767,4.133,16.532,0.811,4497.829,13260,1.200,0.833,0.852
2,10_Plate_001.tif,18.317,255.000,4541.739,4.907,18.661,0.661,4670.822,13770,1.116,0.896,0.771
3,10_Plate_001.tif,11.872,211.286,1930.603,5.754,14.884,0.673,2508.405,7395,1.528,0.654,0.833
4,10_Plate_001.tif,13.907,255.000,9128.180,7.309,27.921,0.224,3546.365,10455,5.767,0.173,0.469
5,10_Plate_001.tif,25.779,255.000,22525.580,7.058,21.332,0.712,6573.750,19380,1.203,0.831,0.813
6,10_Plate_001.tif,10.854,255.000,11040.314,8.045,12.555,0.865,2767.895,8160,1.923,0.520,0.877
7,10_Plate_001.tif,10.515,255.000,13097.573,8.971,20.167,0.325,2681.398,7905,1.073,0.932,0.681
8,10_Plate_001.tif,11.533,255.000,22219.997,9.730,22.638,0.283,2940.888,8670,2.680,0.373,0.535
9,10_Plate_001.tif,17.639,255.000,4157.811,11.749,16.190,0.846,4497.829,13260,1.688,0.592,0.874
10,10_Plate_001.tif,42.740,238.810,5514.777,13.553,38.346,0.365,10206.612,30090,1.268,0.788,0.661
11,10_Plate_001.tif,11.533,255.000,15743.037,10.843,17.355,0.481,2940.888,8670,3.501,0.286,0.708
12,10_Plate_001.tif,19.335,255.000,1920.797,12.501,32.381,0.232,4930.312,14535,2.711,0.369,0.477
13,10_Plate_001.tif,19.335,255.000,7436.129,12.593,20.167,0.597,4930.312,14535,2.198,0.455,0.786
14,10_Plate_001.tif,26.458,255.000,15934.725,11.977,22.297,0.669,6746.743,19890,1.278,0.782,0.812
15,10_Plate_001.tif,29.850,214.432,16697.241,12.923,21.474,0.813,6400.757,18870,1.226,0.816,0.867
16,10_Plate_001.tif,10.854,255.000,9139.123,15.907,24.486,0.228,2767.895,8160,3.043,0.329,0.400
17,10_Plate_001.tif,41.383,255.000,1933.662,26.218,70.844,0.104,10552.599,31110,6.952,0.144,0.298
18,10_Plate_001.tif,10.515,255.000,9928.993,13.067,11.049,1.000,2681.398,7905,1.116,0.896,0.886
19,10_Plate_001.tif,13.229,255.000,10078.484,13.269,12.896,1.000,3373.372,9945,1.294,0.773,0.918
20,10_Plate_001.tif,44.775,255.000,14902.080,17.133,32.381,0.537,11417.566,33660,1.994,0.502,0.763
21,10_Plate_001.tif,16.960,255.000,1488.235,17.006,30.110,0.235,4324.836,12750,1.533,0.652,0.476
22,10_Plate_001.tif,13.907,255.000,5506.051,14.894,16.190,0.667,3546.365,10455,1.908,0.524,0.820
23,10_Plate_001.tif,10.515,255.000,10667.302,18.421,22.214,0.268,2681.398,7905,7.298,0.137,0.713
24,10_Plate_001.tif,10.515,255.000,1915.391,19.060,19.885,0.334,2681.398,7905,5.923,0.169,0.705
25,10_Plate_001.tif,10.176,255.000,10767.055,17.026,20.309,0.310,2594.901,7650,1.344,0.744,0.561
26,10_Plate_001.tif,10.176,255.000,25824.092,18.288,18.661,0.367,2594.901,7650,2.267,0.441,0.659
27,10_Plate_001.tif,10.515,255.000,3638.351,18.740,12.896,0.795,2681.398,7905,1.569,0.637,0.838
28,10_Plate_001.tif,11.533,255.000,24541.831,20.127,16.873,0.509,2940.888,8670,1.764,0.567,0.667
29,10_Plate_001.tif,17.299,255.000,19861.186,21.669,15.708,0.881,4411.332,13005,1.771,0.565,0.903
30,10_Plate_001.tif,76.660,255.000,14052.912,25.209,71.468,0.189,19548.257,57630,2.071,0.483,0.564
31,10_Plate_001.tif,143.822,253.196,14942.598,30.268,94.389,0.203,36415.115,107355,2.672,0.374,0.529
32,10_Plate_001.tif,44.096,255.000,1922.378,30.375,70.586,0.111,11244.572,33150,2.564,0.390,0.351
33,10_Plate_001.tif,14.586,189.767,1926.598,23.278,13.719,0.974,2767.895,8160,1.116,0.896,0.896
34,10_Plate_001.tif,20.013,255.000,5338.564,24.782,19.826,0.640,5103.306,15045,1.729,0.578,0.766
35,10_Plate_001.tif,18.317,255.000,9538.374,24.321,19.144,0.628,4670.822,13770,1.395,0.717,0.761
36,10_Plate_001.tif,133.985,205.937,6768.537,41.577,104.556,0.154,27592.451,81345,8.571,0.117,0.637
37,10_Plate_001.tif,10.854,255.000,16122.361,26.500,13.578,0.740,2767.895,8160,2.311,0.433,0.865
38,10_Plate_001.tif,27.475,255.000,18672.207,33.100,38.405,0.234,7006.234,20655,7.297,0.137,0.664
39,10_Plate_001.tif,10.176,255.000,10960.726,27.004,15.026,0.566,2594.901,7650,1.338,0.747,0.741
40,10_Plate_001.tif,28.154,255.000,5118.422,32.717,53.572,0.123,7179.227,21165,3.061,0.327,0.305
41,10_Plate_001.tif,41.383,255.000,7555.386,29.717,42.123,0.293,10552.599,31110,1.495,0.669,0.602
42,10_Plate_001.tif,11.872,255.000,21053.374,27.565,15.708,0.605,3027.385,8925,1.186,0.843,0.753
43,10_Plate_001.tif,20.691,255.000,20167.835,28.600,16.673,0.935,5276.299,15555,1.051,0.951,0.871
44,10_Plate_001.tif,41.722,252.927,529.121,32.395,36.499,0.394,10552.599,31110,1.252,0.799,0.689
45,10_Plate_001.tif,11.533,232.500,21082.637,29.149,12.413,0.941,2681.398,7905,1.146,0.872,0.907
46,10_Plate_001.tif,23.066,255.000,21720.014,31.108,24.286,0.491,5881.776,17340,1.817,0.550,0.670
47,10_Plate_001.tif,26.458,255.000,3942.707,32.458,21.956,0.690,6746.743,19890,1.458,0.686,0.792
48,10_Plate_001.tif,15.603,255.000,8125.738,31.817,17.155,0.666,3978.849,11730,1.968,0.508,0.814
49,10_Plate_001.tif,16.282,255.000,24278.829,31.244,14.884,0.924,4151.842,12240,1.573,0.636,0.897
50,10_Plate_001.tif,49.184,255.000,24360.912,32.782,26.615,0.873,12542.023,36975,1.355,0.738,0.909
51,10_Plate_001.tif,12.551,255.000,5125.132,35.204,25.309,0.246,3200.378,9435,3.952,0.253,0.468
52,10_Plate_001.tif,14.586,255.000,16363.039,31.823,14.202,0.909,3719.359,10965,1.254,0.797,0.851
53,10_Plate_001.tif,20.013,255.000,23022.531,33.035,17.497,0.822,5103.306,15045,1.104,0.906,0.825
54,10_Plate_001.tif,37.312,255.000,25363.843,34.055,22.980,0.888,9514.638,28050,1.280,0.781,0.887
55,10_Plate_001.tif,21.370,255.000,15342.351,34.561,24.827,0.436,5449.293,16065,1.085,0.921,0.656
56,10_Plate_001.tif,15.603,255.000,14921.223,36.350,21.815,0.412,3978.849,11730,2.257,0.443,0.643
57,10_Plate_001.tif,207.931,255.000,12797.725,46.862,56.667,0.814,53022.483,156315,1.339,0.747,0.919
58,10_Plate_001.tif,21.031,205.645,4253.302,44.170,17.696,0.844,4324.836,12750,1.112,0.899,0.867
59,10_Plate_001.tif,20.352,255.000,18669.656,49.097,30.310,0.278,5189.803,15300,6.103,0.164,0.659
60,10_Plate_001.tif,10.176,255.000,48.088,45.350,12.072,0.877,2594.901,7650,1.377,0.726,0.857
61,10_Plate_001.tif,12.211,255.000,12355.675,46.399,13.861,0.799,3113.882,9180,1.286,0.777,0.809
62,10_Plate_001.tif,13.229,255.000,23087.026,45.884,13.861,0.865,3373.372,9945,1.309,0.764,0.821
