 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,Plate_10_p1.tif,17,255,3627.029,2.382,15.556,0.883,4335,4335,1.189,0.841,0.791
2,Plate_10_p1.tif,43,255,3752.616,3.360,24.728,0.884,10965,10965,1.084,0.922,0.925
3,Plate_10_p1.tif,20,255,4932.500,3.500,25.314,0.392,5100,5100,2.413,0.414,0.645
4,Plate_10_p1.tif,22,255,5681.091,2.045,16.728,0.988,5610,5610,1.342,0.745,0.880
5,Plate_10_p1.tif,19,255,8058.816,1.553,17.314,0.796,4845,4845,1.639,0.610,0.884
6,Plate_10_p1.tif,21,255,17852.167,1.738,17.899,0.824,5355,5355,1.479,0.676,0.875
7,Plate_10_p1.tif,15,255,35311.233,1.367,17.899,0.588,3825,3825,1.912,0.523,0.750
8,Plate_10_p1.tif,500,255,35337.474,32.944,224.894,0.124,127500,127500,4.580,0.218,0.428
9,Plate_10_p1.tif,27,255,36839.130,2.796,18.971,0.943,6885,6885,1.386,0.722,0.844
10,Plate_10_p1.tif,197,255,39292.251,11.698,55.456,0.805,50235,50235,1.707,0.586,0.927
11,Plate_10_p1.tif,31,255,5027.274,9.016,20.971,0.886,7905,7905,1.640,0.610,0.827
12,Plate_10_p1.tif,132,255,25708.303,11.917,45.213,0.811,33660,33660,1.401,0.714,0.901
13,Plate_10_p1.tif,27,255,6647.907,10.130,18.728,0.967,6885,6885,1.077,0.929,0.871
14,Plate_10_p1.tif,16,255,8045.625,9.562,14.485,0.958,4080,4080,1.477,0.677,0.889
15,Plate_10_p1.tif,23,255,42071.848,10.804,20.728,0.673,5865,5865,1.678,0.596,0.719
16,Plate_10_p1.tif,13,255,29080.654,9.808,13.899,0.846,3315,3315,2.061,0.485,0.867
17,Plate_10_p1.tif,11,255,24000.500,13.045,13.314,0.780,2805,2805,1.833,0.546,0.759
18,Plate_10_p1.tif,12,255,7597.833,14.333,13.314,0.851,3060,3060,1.515,0.660,0.774
19,Plate_10_p1.tif,22,255,27744.591,14.591,15.899,1.000,5610,5610,1.101,0.908,0.936
20,Plate_10_p1.tif,96,255,7652.677,36.635,110.770,0.098,24480,24480,15.682,0.064,0.530
21,Plate_10_p1.tif,41,255,26126.110,17.012,23.213,0.956,10455,10455,1.162,0.861,0.845
22,Plate_10_p1.tif,20,255,27980.650,15.800,16.142,0.965,5100,5100,1.203,0.831,0.851
23,Plate_10_p1.tif,24,255,8398.833,18.667,18.142,0.916,6120,6120,1.242,0.805,0.889
24,Plate_10_p1.tif,19,255,25632.500,19.500,15.314,1.000,4845,4845,1.679,0.596,0.905
25,Plate_10_p1.tif,18,255,13049.556,21.278,16.728,0.808,4590,4590,1.491,0.671,0.800
26,Plate_10_p1.tif,11,255,41294.773,20.682,13.899,0.715,2805,2805,2.508,0.399,0.759
27,Plate_10_p1.tif,11,255,42402.591,20.864,14.485,0.659,2805,2805,1.944,0.514,0.759
28,Plate_10_p1.tif,20,255,14573.200,21.650,16.728,0.898,5100,5100,1.498,0.668,0.816
29,Plate_10_p1.tif,30,255,28189.567,25.533,31.213,0.387,7650,7650,4.327,0.231,0.619
30,Plate_10_p1.tif,20,255,11448.400,27.400,28.971,0.299,5100,5100,3.119,0.321,0.482
31,Plate_10_p1.tif,20,255,42100.200,24.650,18.971,0.698,5100,5100,1.530,0.653,0.741
32,Plate_10_p1.tif,33,255,5885.621,28.894,27.799,0.537,8415,8415,1.349,0.741,0.611
33,Plate_10_p1.tif,10,255,26141.400,27.500,18.142,0.382,2550,2550,3.649,0.274,0.513
34,Plate_10_p1.tif,16,255,41754.750,28.812,14.728,0.927,4080,4080,1.480,0.676,0.821
35,Plate_10_p1.tif,34,255,28173.853,34.471,45.355,0.208,8670,8670,6.602,0.151,0.493
36,Plate_10_p1.tif,24,255,43603.917,29.292,19.556,0.789,6120,6120,1.944,0.514,0.774
37,Plate_10_p1.tif,10,255,29379.700,33.400,11.071,1.000,2550,2550,1.288,0.776,0.909
38,Plate_10_p1.tif,73,255,38430.212,36.815,33.456,0.820,18615,18615,1.058,0.945,0.864
39,Plate_10_p1.tif,13,255,5212.654,36.962,12.485,1.000,3315,3315,1.148,0.871,0.897
40,Plate_10_p1.tif,30,255,11436.500,40.567,20.142,0.929,7650,7650,1.261,0.793,0.857
41,Plate_10_p1.tif,10,255,42750.300,39.500,11.899,0.887,2550,2550,2.212,0.452,0.833
42,Plate_10_p1.tif,21,255,42652.690,42.452,16.485,0.971,5355,5355,1.334,0.750,0.913
43,Plate_10_p1.tif,11,255,4916.409,45.864,11.071,1.000,2805,2805,1.372,0.729,0.957
44,Plate_10_p1.tif,21,255,42858.119,49.357,18.971,0.733,5355,5355,2.638,0.379,0.824
45,Plate_10_p1.tif,19,255,43089.395,48.974,16.485,0.879,4845,4845,1.770,0.565,0.884
46,Plate_10_p1.tif,23,255,26205.370,51.022,17.314,0.964,5865,5865,1.291,0.774,0.868
47,Plate_10_p1.tif,29,255,4470.638,53.569,22.142,0.743,7395,7395,1.369,0.730,0.763
48,Plate_10_p1.tif,13,255,5923.423,53.423,14.142,0.817,3315,3315,1.750,0.571,0.722
49,Plate_10_p1.tif,55,255,33442.118,55.227,31.456,0.699,14025,14025,1.285,0.778,0.764
50,Plate_10_p1.tif,22,255,8188.318,54.500,17.314,0.922,5610,5610,1.176,0.850,0.880
51,Plate_10_p1.tif,14,255,37930.357,60.500,16.728,0.629,3570,3570,1.600,0.625,0.683
52,Plate_10_p1.tif,13,255,2761.038,59.654,12.485,1.000,3315,3315,1.148,0.871,0.897
53,Plate_10_p1.tif,11,255,42840.591,59.864,12.728,0.853,2805,2805,1.432,0.698,0.759
54,Plate_10_p1.tif,13,255,41517.423,61.654,13.314,0.922,3315,3315,1.595,0.627,0.812
55,Plate_10_p1.tif,26,255,38215.962,65.192,18.971,0.908,6630,6630,1.465,0.683,0.825
56,Plate_10_p1.tif,13,255,35025.577,65.654,13.314,0.922,3315,3315,1.595,0.627,0.812
57,Plate_10_p1.tif,15,255,25607.900,66.900,13.071,1.000,3825,3825,1.137,0.880,0.968
58,Plate_10_p1.tif,121,255,27684.888,72.120,41.698,0.874,30855,30855,1.303,0.767,0.903
59,Plate_10_p1.tif,44,255,36481.000,69.864,27.799,0.715,11220,11220,1.245,0.803,0.786
60,Plate_10_p1.tif,24,255,7658.792,77.208,37.314,0.217,6120,6120,8.639,0.116,0.787
61,Plate_10_p1.tif,17,255,18382.912,77.500,17.314,0.713,4335,4335,1.865,0.536,0.756
62,Plate_10_p1.tif,13,255,19056.577,76.192,13.071,0.956,3315,3315,1.526,0.655,0.929
63,Plate_10_p1.tif,10,255,38207.800,75.800,11.314,0.982,2550,2550,1.241,0.806,0.800
64,Plate_10_p1.tif,21,255,38743.167,77.929,18.142,0.802,5355,5355,1.937,0.516,0.857
65,Plate_10_p1.tif,18,255,42953.167,75.556,16.728,0.808,4590,4590,1.992,0.502,0.837
66,Plate_10_p1.tif,27,255,20896.278,81.241,18.728,0.967,6885,6885,1.327,0.754,0.900
67,Plate_10_p1.tif,25,255,34220.940,81.340,18.728,0.896,6375,6375,1.419,0.705,0.862
68,Plate_10_p1.tif,12,255,5367.167,82.250,11.899,1.000,3060,3060,1.135,0.881,0.857
69,Plate_10_p1.tif,28,255,8804.000,82.500,18.485,1.000,7140,7140,1.266,0.790,0.966
70,Plate_10_p1.tif,20,255,42773.300,82.300,17.314,0.838,5100,5100,2.163,0.462,0.833
71,Plate_10_p1.tif,16,255,155.500,85.625,19.556,0.526,4080,4080,2.135,0.468,0.667
72,Plate_10_p1.tif,24,255,43214.042,87.792,21.556,0.649,6120,6120,1.293,0.773,0.716
73,Plate_10_p1.tif,11,255,4150.409,89.136,11.071,1.000,2805,2805,1.372,0.729,0.957
74,Plate_10_p1.tif,20,255,37036.450,90.400,15.314,1.000,5100,5100,1.083,0.923,0.889
75,Plate_10_p1.tif,12,255,42142.500,92.333,12.728,0.931,3060,3060,1.186,0.843,0.800
76,Plate_10_p1.tif,60,255,12288.500,95.867,29.456,0.869,15300,15300,1.257,0.795,0.839
77,Plate_10_p1.tif,22,255,28229.545,94.545,18.971,0.768,5610,5610,2.115,0.473,0.786
78,Plate_10_p1.tif,47,255,64.266,97.053,24.385,0.993,11985,11985,1.040,0.961,0.895
79,Plate_10_p1.tif,12,255,15891.333,95.417,11.899,1.000,3060,3060,1.579,0.633,0.889
80,Plate_10_p1.tif,19,255,24196.553,98.553,22.485,0.472,4845,4845,3.969,0.252,0.776
81,Plate_10_p1.tif,12,255,26950.833,95.833,11.899,1.000,3060,3060,1.651,0.606,0.889
82,Plate_10_p1.tif,10,255,2771.400,100.300,13.314,0.709,2550,2550,1.694,0.590,0.769
83,Plate_10_p1.tif,13,255,7659.423,102.192,14.485,0.779,3315,3315,2.140,0.467,0.839
84,Plate_10_p1.tif,26,255,35528.423,100.923,19.899,0.825,6630,6630,1.982,0.505,0.912
85,Plate_10_p1.tif,11,255,26042.500,103.500,11.899,0.976,2805,2805,1.469,0.681,0.846
86,Plate_10_p1.tif,19,255,24932.763,105.711,16.142,0.916,4845,4845,1.706,0.586,0.844
87,Plate_10_p1.tif,12,255,20653.000,106.000,11.314,1.000,3060,3060,1.000,1.000,0.857
88,Plate_10_p1.tif,10,255,28237.700,107.900,11.314,0.982,2550,2550,1.587,0.630,0.800
89,Plate_10_p1.tif,44,255,4086.614,112.659,24.971,0.887,11220,11220,1.219,0.820,0.863
90,Plate_10_p1.tif,46,255,34452.435,114.348,31.556,0.580,11730,11730,1.226,0.815,0.708
91,Plate_10_p1.tif,19,255,41340.553,112.921,16.728,0.853,4845,4845,1.753,0.570,0.809
92,Plate_10_p1.tif,32,255,25774.531,114.094,20.728,0.936,8160,8160,1.042,0.960,0.877
93,Plate_10_p1.tif,31,255,27168.919,113.952,19.314,1.000,7905,7905,1.058,0.945,0.925
94,Plate_10_p1.tif,21,255,28793.310,114.548,17.899,0.824,5355,5355,2.056,0.486,0.875
95,Plate_10_p1.tif,39,255,18024.038,117.756,24.142,0.841,9945,9945,1.189,0.841,0.839
96,Plate_10_p1.tif,12,255,1264.917,116.750,11.899,1.000,3060,3060,1.281,0.780,0.857
97,Plate_10_p1.tif,13,255,17725.962,118.115,15.314,0.697,3315,3315,1.629,0.614,0.743
98,Plate_10_p1.tif,17,255,22007.500,118.500,14.728,0.985,4335,4335,1.272,0.786,0.810
99,Plate_10_p1.tif,39,255,30031.244,121.474,22.728,0.949,9945,9945,1.394,0.717,0.897
100,Plate_10_p1.tif,97,255,7651.809,142.356,93.113,0.141,24735,24735,12.354,0.081,0.647
101,Plate_10_p1.tif,36,255,25075.056,123.028,23.556,0.815,9180,9180,1.186,0.843,0.809
102,Plate_10_p1.tif,15,255,3575.367,122.500,14.142,0.942,3825,3825,1.889,0.529,0.769
103,Plate_10_p1.tif,18,255,40952.889,122.056,18.728,0.645,4590,4590,3.070,0.326,0.783
104,Plate_10_p1.tif,22,255,18336.909,123.773,17.314,0.922,5610,5610,1.087,0.920,0.880
105,Plate_10_p1.tif,14,255,43621.857,124.714,16.485,0.647,3570,3570,2.357,0.424,0.824
106,Plate_10_p1.tif,22,255,26943.091,126.409,19.556,0.723,5610,5610,1.550,0.645,0.800
107,Plate_10_p1.tif,17,255,35823.618,128.853,16.142,0.820,4335,4335,1.543,0.648,0.756
108,Plate_10_p1.tif,12,255,39200.000,131.500,13.314,0.851,3060,3060,1.782,0.561,0.750
109,Plate_10_p1.tif,12,255,7601.750,131.917,11.899,1.000,3060,3060,1.281,0.780,0.857
110,Plate_10_p1.tif,24,255,27287.958,132.708,18.142,0.916,6120,6120,1.721,0.581,0.857
111,Plate_10_p1.tif,16,255,13901.188,133.438,13.899,1.000,4080,4080,1.392,0.718,0.889
112,Plate_10_p1.tif,73,255,32677.062,137.514,32.627,0.862,18615,18615,1.251,0.799,0.849
113,Plate_10_p1.tif,10,255,44125.700,134.700,13.899,0.650,2550,2550,3.006,0.333,0.714
114,Plate_10_p1.tif,15,255,30845.433,136.767,13.314,1.000,3825,3825,1.435,0.697,0.882
115,Plate_10_p1.tif,19,255,11412.500,138.395,15.314,1.000,4845,4845,1.100,0.909,0.864
116,Plate_10_p1.tif,11,255,34284.864,138.682,13.314,0.780,2805,2805,1.971,0.507,0.710
117,Plate_10_p1.tif,54,255,7890.963,143.278,33.213,0.615,13770,13770,1.629,0.614,0.800
118,Plate_10_p1.tif,17,255,23875.912,140.382,13.899,1.000,4335,4335,1.263,0.792,0.919
119,Plate_10_p1.tif,10,255,39897.500,139.700,11.071,1.000,2550,2550,1.236,0.809,0.909
120,Plate_10_p1.tif,14,255,42135.143,140.571,14.142,0.880,3570,3570,1.993,0.502,0.800
121,Plate_10_p1.tif,42,255,15613.929,142.500,24.142,0.906,10710,10710,1.441,0.694,0.875
122,Plate_10_p1.tif,42,255,31968.881,142.762,24.971,0.846,10710,10710,1.438,0.695,0.840
123,Plate_10_p1.tif,31,255,38193.823,146.048,20.728,0.907,7905,7905,1.264,0.791,0.873
124,Plate_10_p1.tif,45,255,37932.878,147.856,27.213,0.764,11475,11475,1.206,0.829,0.811
125,Plate_10_p1.tif,18,255,34733.944,147.389,16.142,0.868,4590,4590,1.444,0.692,0.783
126,Plate_10_p1.tif,23,255,7658.761,153.326,33.799,0.253,5865,5865,6.364,0.157,0.489
127,Plate_10_p1.tif,25,255,33953.140,153.180,18.142,0.954,6375,6375,1.296,0.772,0.833
128,Plate_10_p1.tif,11,255,43123.682,151.864,15.556,0.571,2805,2805,2.718,0.368,0.688
129,Plate_10_p1.tif,10,255,14982.400,159.100,15.314,0.536,2550,2550,2.017,0.496,0.690
130,Plate_10_p1.tif,14,255,16338.500,159.000,20.385,0.423,3570,3570,4.007,0.250,0.596
131,Plate_10_p1.tif,72,255,42312.917,165.611,36.284,0.687,18360,18360,1.412,0.708,0.796
132,Plate_10_p1.tif,41,255,37175.622,163.622,24.385,0.866,10455,10455,1.187,0.843,0.845
133,Plate_10_p1.tif,13,255,37505.962,161.808,19.071,0.449,3315,3315,4.489,0.223,0.839
134,Plate_10_p1.tif,59,255,41151.975,167.585,33.698,0.653,15045,15045,1.515,0.660,0.776
135,Plate_10_p1.tif,35,255,14984.014,168.643,36.042,0.339,8925,8925,3.759,0.266,0.547
136,Plate_10_p1.tif,89,255,33604.837,167.118,44.042,0.577,22695,22695,2.644,0.378,0.820
137,Plate_10_p1.tif,21,255,33756.643,165.833,18.142,0.802,5355,5355,1.657,0.604,0.808
138,Plate_10_p1.tif,34,255,44274.118,167.176,31.213,0.439,8670,8670,3.870,0.258,0.708
