============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Xe(34.7 GeV) ==> Ilford G_5+Glass Soda_Li( 8.24 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1 54 .1177979E+11   8240000E+01  .2704E+05  .4382E+05   .9999858  .0012754  .0051721
T    2 54 .1178752E+11   8240000E+01 -.1511E+06 -.1757E+06   .9997701 -.0057331 -.0206594
T    3 54 .1180485E+11   8240000E+01 -.1056E+06 -.4087E+06   .9999064 -.0027108 -.0134135
T    4 54 .1184977E+11   8240000E+01 -.1922E+05 -.5278E+05   .9999994 -.0010977 -.0002574
T    5 54 .1171919E+11   8240000E+01 -.5864E+05  .2340E+06   .9999883 -.0029628  .0038183
T    6 54 .1181880E+11   8240000E+01 -.8844E+05 -.2942E+05   .9999920 -.0037142 -.0014527
T    7 54 .1180904E+11   8240000E+01 -.4674E+05 -.1124E+06   .9999845  .0054707  .0010434
T    8 54 .1174382E+11   8240000E+01 -.8233E+05 -.1909E+06   .9999792 -.0056752 -.0030711
T    9 54 .1178826E+11   8240000E+01 -.6395E+05 -.3238E+06   .9999785  .0012186 -.0064414
T   10 54 .1178093E+11   8240000E+01  .1792E+06  .1081E+05   .9999976  .0021766  .0000186
T   11 54 .1181281E+11   8240000E+01 -.2150E+06  .1168E+05   .9999678 -.0078561  .0016317
T   12 54 .1182804E+11   8240000E+01 -.6356E+05  .1290E+05   .9999936 -.0035832 -.0000436
