#stack plate depth_mm cycles track_density_per_mm2 track_density_per_cycle energy_dep_frac avg_area_um2
Stack_01 1_Plate_09 0.0300 1 605.22 605.22 0.049762 82.22
Stack_01 2_Plate_08 2.0900 1 490.20 490.20 0.056830 115.93
Stack_01 3_Plate_07 4.1500 1 521.12 521.12 0.045491 87.29
Stack_01 4_Plate_06 6.2100 1 421.41 421.41 0.053951 128.03
Stack_01 5_Plate_05 8.2700 1 482.24 482.24 0.060095 124.62
Stack_01 6_Plate_04 10.3300 1 34.18 34.18 0.001743 50.99
Stack_01 7_Plate_03 12.3900 1 28.57 28.57 0.001250 43.75
Stack_01 8_Plate_02 14.4500 1 12.31 12.31 0.000831 67.51
Stack_02 1_Plate-0001 0.0300 5 939.44 187.89 0.041896 44.60
Stack_02 2_Plate-0001 2.0900 5 126.94 25.39 0.024417 192.36
Stack_02 3_Plate-0001 4.1500 5 124.43 24.89 0.034743 279.22
Stack_02 4_Plate-0001 6.2100 5 125.30 25.06 0.033671 268.73
Stack_02 5_Plate-0001 8.2700 5 127.82 25.56 0.036798 287.89
Stack_02 6_Plate-0001 10.3300 5 135.99 27.20 0.044868 329.93
Stack_02 7_Plate-0001 12.3900 5 38.34 7.67 0.002707 70.59
Stack_02 8_Plate-0001 14.4500 5 34.04 6.81 0.002572 75.56
Stack_02 9_Plate-0001 16.5100 5 85.45 17.09 0.003224 37.72
Stack_02 10_Plate_001 18.5700 5 60.40 12.08 0.001933 32.01
Stack_03 Plate_01_p1 0.0300 10 2475.30 247.53 0.073381 29.65
Stack_03 Plate_02_p1 2.0900 10 902.44 90.24 0.063322 70.17
Stack_03 Plate_03_p1 4.1500 10 766.22 76.62 0.086366 112.72
Stack_03 Plate_04_p1 6.2100 10 805.58 80.56 0.083806 104.03
Stack_03 Plate_05_p1 8.2700 10 633.19 63.32 0.132789 209.72
Stack_03 Plate_06_p1 10.3300 10 680.07 68.01 0.109296 160.71
Stack_03 Plate_07_p1 12.3900 10 44.67 4.47 0.001838 41.15
Stack_03 Plate_08_p1 14.4500 10 42.18 4.22 0.001609 38.15
Stack_03 Plate_09_p1 16.5100 10 28.38 2.84 0.000842 29.66
Stack_03 Plate_10_p1 18.5700 10 21.45 2.15 0.000715 33.33
