#stack plate depth_mm class frac area_mean_um2
Stack_01 1_Plate_09 0.0300 0 0.0282 28.82
Stack_01 1_Plate_09 0.0300 1 0.9048 75.76
Stack_01 1_Plate_09 0.0300 2 0.0670 179.10
Stack_01 2_Plate_08 2.0900 0 0.0653 30.47
Stack_01 2_Plate_08 2.0900 1 0.8485 106.73
Stack_01 2_Plate_08 2.0900 2 0.0862 246.01
Stack_01 3_Plate_07 4.1500 0 0.0425 28.25
Stack_01 3_Plate_07 4.1500 1 0.8883 80.23
Stack_01 3_Plate_07 4.1500 2 0.0693 186.12
Stack_01 4_Plate_06 6.2100 0 0.0476 46.87
Stack_01 4_Plate_06 6.2100 1 0.8851 119.45
Stack_01 4_Plate_06 6.2100 2 0.0674 277.36
Stack_01 5_Plate_05 8.2700 0 0.0723 46.05
Stack_01 5_Plate_05 8.2700 1 0.8489 117.89
Stack_01 5_Plate_05 8.2700 2 0.0788 257.81
Stack_01 6_Plate_04 10.3300 0 0.3596 18.90
Stack_01 6_Plate_04 10.3300 1 0.3315 40.17
Stack_01 6_Plate_04 10.3300 2 0.3089 92.11
Stack_01 7_Plate_03 12.3900 0 0.3829 18.32
Stack_01 7_Plate_03 12.3900 1 0.3193 36.07
Stack_01 7_Plate_03 12.3900 2 0.2978 76.72
Stack_01 8_Plate_02 14.4500 0 0.4391 41.38
Stack_01 8_Plate_02 14.4500 1 0.3491 65.30
Stack_01 8_Plate_02 14.4500 2 0.2119 109.82
Stack_02 1_Plate-0001 0.0300 0 0.3353 31.62
Stack_02 1_Plate-0001 0.0300 1 0.4555 34.72
Stack_02 1_Plate-0001 0.0300 2 0.2091 62.96
Stack_02 2_Plate-0001 2.0900 0 0.0682 26.83
Stack_02 2_Plate-0001 2.0900 1 0.8351 173.58
Stack_02 2_Plate-0001 2.0900 2 0.0968 429.13
Stack_02 3_Plate-0001 4.1500 0 0.1489 25.75
Stack_02 3_Plate-0001 4.1500 1 0.7326 262.14
Stack_02 3_Plate-0001 4.1500 2 0.1185 644.05
Stack_02 4_Plate-0001 6.2100 0 0.0654 15.58
Stack_02 4_Plate-0001 6.2100 1 0.0331 52.93
Stack_02 4_Plate-0001 6.2100 2 0.9015 274.62
Stack_02 5_Plate-0001 8.2700 0 0.0680 17.14
Stack_02 5_Plate-0001 8.2700 1 0.0397 62.80
Stack_02 5_Plate-0001 8.2700 2 0.8923 295.40
Stack_02 6_Plate-0001 10.3300 0 0.1654 43.26
Stack_02 6_Plate-0001 10.3300 1 0.7112 319.57
Stack_02 6_Plate-0001 10.3300 2 0.1234 710.65
Stack_02 7_Plate-0001 12.3900 0 0.4104 14.15
Stack_02 7_Plate-0001 12.3900 1 0.4067 32.76
Stack_02 7_Plate-0001 12.3900 2 0.1829 210.38
Stack_02 8_Plate-0001 14.4500 0 0.4163 13.73
Stack_02 8_Plate-0001 14.4500 1 0.3852 32.46
Stack_02 8_Plate-0001 14.4500 2 0.1985 218.36
Stack_02 9_Plate-0001 16.5100 0 0.4748 12.56
Stack_02 9_Plate-0001 16.5100 1 0.3494 21.06
Stack_02 9_Plate-0001 16.5100 2 0.1758 79.46
Stack_02 10_Plate_001 18.5700 0 0.4852 13.34
Stack_02 10_Plate_001 18.5700 1 0.4562 30.09
Stack_02 10_Plate_001 18.5700 2 0.0587 61.31
Stack_03 Plate_01_p1 0.0300 0 0.7763 19.58
Stack_03 Plate_01_p1 0.0300 1 0.1441 44.78
Stack_03 Plate_01_p1 0.0300 2 0.0796 83.04
Stack_03 Plate_02_p1 2.0900 0 0.0211 20.27
Stack_03 Plate_02_p1 2.0900 1 0.7790 51.65
Stack_03 Plate_02_p1 2.0900 2 0.1999 128.60
Stack_03 Plate_03_p1 4.1500 0 0.0596 27.27
Stack_03 Plate_03_p1 4.1500 1 0.6835 73.01
Stack_03 Plate_03_p1 4.1500 2 0.2569 188.56
Stack_03 Plate_04_p1 6.2100 0 0.0498 26.98
Stack_03 Plate_04_p1 6.2100 1 0.7038 70.88
Stack_03 Plate_04_p1 6.2100 2 0.2464 180.03
Stack_03 Plate_05_p1 8.2700 0 0.0856 36.59
Stack_03 Plate_05_p1 8.2700 1 0.5743 121.67
Stack_03 Plate_05_p1 8.2700 2 0.3401 326.72
Stack_03 Plate_06_p1 10.3300 0 0.9480 114.51
Stack_03 Plate_06_p1 10.3300 1 0.0000 197.89
Stack_03 Plate_06_p1 10.3300 2 0.0520 474.51
Stack_03 Plate_07_p1 12.3900 0 0.3686 14.33
Stack_03 Plate_07_p1 12.3900 1 0.3130 32.29
Stack_03 Plate_07_p1 12.3900 2 0.3184 72.32
Stack_03 Plate_08_p1 14.4500 0 0.3619 14.07
Stack_03 Plate_08_p1 14.4500 1 0.3189 30.44
Stack_03 Plate_08_p1 14.4500 2 0.3192 64.32
Stack_03 Plate_09_p1 16.5100 0 0.4226 12.72
Stack_03 Plate_09_p1 16.5100 1 0.4318 26.32
Stack_03 Plate_09_p1 16.5100 2 0.1456 43.21
Stack_03 Plate_10_p1 18.5700 0 0.4542 13.51
Stack_03 Plate_10_p1 18.5700 1 0.4902 32.09
Stack_03 Plate_10_p1 18.5700 2 0.0556 57.54
