stack,plate,plate_num,depth_mm,class,count,frac,log10_area_mean,log10_area_std,area_mean_um2
Stack_01,1_Plate_09,1,0.03,0,6932,0.028179549094693366,1.4596716663303964,0.19068063543217995,28.81851952542587
Stack_01,1_Plate_09,1,0.03,1,222577,0.9048066212997065,1.879418077020086,0.06973745277910212,75.75618169920334
Stack_01,1_Plate_09,1,0.03,2,16485,0.06701382960560014,2.253089037830558,0.05175687722380876,179.09729966343912
Stack_01,2_Plate_08,2,2.09,0,14166,0.06529554924591614,1.4839193113498779,0.23239493249904128,30.473287662517567
Stack_01,2_Plate_08,2,2.09,1,184087,0.8485148788672149,2.0282999190522335,0.08454935395331963,106.73329553225688
Stack_01,2_Plate_08,2,2.09,2,18699,0.08618957188686899,2.3909535792539334,0.06947642493538067,246.01046351235578
Stack_01,3_Plate_07,3,4.15,0,10393,0.04245836073878283,1.450952028238,0.1833036382143359,28.245679585504142
Stack_01,3_Plate_07,3,4.15,1,217435,0.8882838128776335,1.904358386931315,0.08015790256483156,80.23398943168843
Stack_01,3_Plate_07,3,4.15,2,16953,0.06925782638358369,2.269785712366521,0.09752952482955947,186.11685806213418
Stack_01,4_Plate_06,4,6.21,0,9406,0.047580506459739186,1.6709350990566798,0.26822143819004945,46.874332793398395
Stack_01,4_Plate_06,4,6.21,1,174962,0.8850500288336048,2.0771788402445273,0.06785599299787091,119.44798839029353
Stack_01,4_Plate_06,4,6.21,2,13318,0.06736946470665602,2.4430490506226263,0.06370266076893459,277.3633350078253
Stack_01,5_Plate_05,5,8.27,0,16429,0.0722563563515136,1.6632392808136716,0.27898378380598954,46.05102284551804
Stack_01,5_Plate_05,5,8.27,1,193024,0.8489385189843911,2.071466008579532,0.05709646604661408,117.88702516532587
Stack_01,5_Plate_05,5,8.27,2,17918,0.07880512466409524,2.411300700763443,0.0500625898440419,257.8105591367978
Stack_01,6_Plate_04,6,10.33,0,5787,0.359642035920701,1.276544903641472,0.09591714689375311,18.903616739988074
Stack_01,6_Plate_04,6,10.33,1,5334,0.33148965260083274,1.603921495647267,0.13336907924040953,40.17181885196595
Stack_01,6_Plate_04,6,10.33,2,4970,0.3088683114784662,1.964289753352361,0.14406959436836556,92.1063883815159
Stack_01,7_Plate_03,7,12.39,0,5139,0.3829073839505253,1.2629031408931684,0.08667552370782784,18.319058135670414
Stack_01,7_Plate_03,7,12.39,1,4285,0.3192757618657328,1.5571755768868778,0.12566094683368279,36.07244474869063
Stack_01,7_Plate_03,7,12.39,2,3997,0.2978168541837419,1.8849034238613438,0.14470893510694038,76.71908664933979
Stack_01,8_Plate_02,8,14.45,0,2541,0.439087610160705,1.6167867921665287,0.06047267972176414,41.37964801804095
Stack_01,8_Plate_02,8,14.45,1,2020,0.3490582339726974,1.8149363910725012,0.09394949260090747,65.30348989069542
Stack_01,8_Plate_02,8,14.45,2,1226,0.21185415586659756,2.040693753341537,0.13524741801442078,109.82311387598448
Stack_02,1_Plate-0001,1,0.03,0,144181,0.3353491044161668,1.499986550831896,0.055653064337797625,31.621797327318337
Stack_02,1_Plate-0001,1,0.03,1,195859,0.4555464328992448,1.5405342971177598,0.04978080788270861,34.71636910273158
Stack_02,1_Plate-0001,1,0.03,2,89903,0.20910446268458843,1.7990520795114282,0.2777029093352727,62.9581676195472
Stack_02,2_Plate-0001,2,2.09,0,34396,0.06815475305889929,1.4286589553403855,0.32262978944347664,26.83236514463936
Stack_02,2_Plate-0001,2,2.09,1,421429,0.8350502798830931,2.2395069445191065,0.061266893373883434,173.5829019156446
Stack_02,2_Plate-0001,2,2.09,2,48850,0.09679496705800762,2.6325896999053406,0.11526473090130948,429.1308134789387
Stack_02,3_Plate-0001,3,4.15,0,73310,0.14887123075142303,1.4108219466925165,0.3690287136125454,25.7526512589715
Stack_02,3_Plate-0001,3,4.15,1,360767,0.732612567241831,2.418525400473521,0.06425721107399977,262.13523485357854
