depth_mm,dedx_MeVmm,energy_MeV,material
0.005000,2711.5185,34706.4437,E
0.010000,2712.1701,34692.8842,E
0.015000,2712.8223,34679.3214,E
0.020000,2713.4751,34665.7553,E
0.025000,2714.1285,34652.1860,E
0.030000,2714.7824,34638.6133,E
0.035000,2715.4369,34625.0375,E
0.040000,2716.0919,34611.4583,E
0.045000,2716.7475,34597.8759,E
0.050000,2717.4038,34584.2902,E
0.055000,2718.0605,34570.7012,E
0.060000,2718.7179,34557.1089,E
0.065000,2158.7529,34546.3160,G
0.070000,2159.1800,34535.5210,G
0.075000,2159.6074,34524.7238,G
0.080000,2160.0350,34513.9245,G
0.085000,2160.4630,34503.1230,G
0.090000,2160.8913,34492.3194,G
0.095000,2161.3199,34481.5137,G
0.100000,2161.7488,34470.7058,G
0.105000,2162.1779,34459.8958,G
0.110000,2162.6074,34449.0836,G
0.115000,2163.0372,34438.2692,G
0.120000,2163.4674,34427.4528,G
0.125000,2163.8978,34416.6341,G
0.130000,2164.3285,34405.8134,G
0.135000,2164.7595,34394.9904,G
0.140000,2165.1909,34384.1653,G
0.145000,2165.6225,34373.3381,G
0.150000,2166.0545,34362.5087,G
0.155000,2166.4867,34351.6771,G
0.160000,2166.9193,34340.8434,G
0.165000,2167.3522,34330.0075,G
0.170000,2167.7854,34319.1694,G
0.175000,2168.2189,34308.3292,G
0.180000,2168.6527,34297.4868,G
0.185000,2169.0868,34286.6422,G
0.190000,2169.5212,34275.7955,G
0.195000,2169.9560,34264.9466,G
0.200000,2170.3910,34254.0955,G
0.205000,2170.8264,34243.2422,G
0.210000,2171.2621,34232.3868,G
0.215000,2171.6981,34221.5292,G
0.220000,2172.1344,34210.6694,G
0.225000,2172.5710,34199.8074,G
0.230000,2173.0079,34188.9432,G
0.235000,2173.4452,34178.0769,G
0.240000,2173.8827,34167.2083,G
0.245000,2174.3206,34156.3376,G
0.250000,2174.7588,34145.4647,G
0.255000,2175.1973,34134.5896,G
0.260000,2175.6362,34123.7123,G
0.265000,2176.0753,34112.8328,G
0.270000,2176.5148,34101.9511,G
0.275000,2176.9546,34091.0672,G
0.280000,2177.3947,34080.1811,G
0.285000,2177.8351,34069.2928,G
0.290000,2178.2758,34058.4023,G
0.295000,2178.7169,34047.5096,G
0.300000,2179.1583,34036.6147,G
