depth_mm,dedx_MeVmm
0.005000,2711.5185
0.010000,2712.1701
0.015000,2712.8223
0.020000,2713.4751
0.025000,2714.1285
0.030000,2714.7824
0.035000,2715.4369
0.040000,2716.0919
0.045000,2716.7475
0.050000,2717.4038
0.055000,2718.0605
0.060000,2718.7179
0.065000,2158.7529
0.070000,2159.1800
0.075000,2159.6074
0.080000,2160.0350
0.085000,2160.4630
0.090000,2160.8913
0.095000,2161.3199
0.100000,2161.7488
0.105000,2162.1779
0.110000,2162.6074
0.115000,2163.0372
0.120000,2163.4674
0.125000,2163.8978
0.130000,2164.3285
0.135000,2164.7595
0.140000,2165.1909
0.145000,2165.6225
0.150000,2166.0545
0.155000,2166.4867
0.160000,2166.9193
0.165000,2167.3522
0.170000,2167.7854
0.175000,2168.2189
0.180000,2168.6527
0.185000,2169.0868
0.190000,2169.5212
0.195000,2169.9560
0.200000,2170.3910
0.205000,2170.8264
0.210000,2171.2621
0.215000,2171.6981
0.220000,2172.1344
0.225000,2172.5710
0.230000,2173.0079
0.235000,2173.4452
0.240000,2173.8827
0.245000,2174.3206
0.250000,2174.7588
0.255000,2175.1973
0.260000,2175.6362
0.265000,2176.0753
0.270000,2176.5148
0.275000,2176.9546
0.280000,2177.3947
0.285000,2177.8351
0.290000,2178.2758
0.295000,2178.7169
0.300000,2179.1583
0.305000,2179.6000
0.310000,2180.0420
0.315000,2180.4843
0.320000,2180.9270
0.325000,2181.3700
0.330000,2181.8133
0.335000,2182.2569
0.340000,2182.7009
0.345000,2183.1451
0.350000,2183.5897
0.355000,2184.0346
0.360000,2184.4799
0.365000,2184.9255
0.370000,2185.3714
0.375000,2185.8176
0.380000,2186.2641
0.385000,2186.7110
0.390000,2187.1582
0.395000,2187.6058
0.400000,2188.0536
0.405000,2188.5018
0.410000,2188.9503
0.415000,2189.3992
0.420000,2189.8483
0.425000,2190.2979
0.430000,2190.7477
0.435000,2191.1979
0.440000,2191.6484
0.445000,2192.0992
0.450000,2192.5503
0.455000,2193.0018
0.460000,2193.4537
0.465000,2193.9058
0.470000,2194.3583
0.475000,2194.8112
0.480000,2195.2643
0.485000,2195.7178
0.490000,2196.1717
0.495000,2196.6258
0.500000,2197.0803
0.505000,2197.5352
0.510000,2197.9904
0.515000,2198.4459
0.520000,2198.9017
0.525000,2199.3579
0.530000,2199.8145
0.535000,2200.2713
0.540000,2200.7286
0.545000,2201.1861
0.550000,2201.6440
0.555000,2202.1022
0.560000,2202.5608
0.565000,2203.0197
0.570000,2203.4790
0.575000,2203.9386
0.580000,2204.3986
0.585000,2204.8589
0.590000,2205.3195
0.595000,2205.7805
0.600000,2206.2418
0.605000,2206.7035
0.610000,2207.1655
0.615000,2207.6279
0.620000,2208.0906
0.625000,2208.5536
0.630000,2209.0170
0.635000,2209.4808
0.640000,2209.9449
0.645000,2210.4093
0.650000,2210.8741
0.655000,2211.3393
0.660000,2211.8048
0.665000,2212.2707
0.670000,2212.7369
0.675000,2213.2034
0.680000,2213.6703
0.685000,2214.1376
0.690000,2214.6052
0.695000,2215.0732
0.700000,2215.5415
0.705000,2216.0102
0.710000,2216.4792
0.715000,2216.9486
0.720000,2217.4183
0.725000,2217.8884
0.730000,2218.3589
0.735000,2218.8297
0.740000,2219.3009
0.745000,2219.7724
0.750000,2220.2443
0.755000,2220.7166
0.760000,2221.1892
0.765000,2221.6622
0.770000,2222.1355
0.775000,2222.6092
0.780000,2223.0832
0.785000,2223.5576
0.790000,2224.0324
0.795000,2224.5076
0.800000,2224.9831
0.805000,2225.4589
0.810000,2225.9352
0.815000,2226.4118
0.820000,2226.8887
0.825000,2227.3661
0.830000,2227.8438
0.835000,2228.3218
0.840000,2228.8003
0.845000,2229.2791
0.850000,2229.7582
0.855000,2230.2378
0.860000,2230.7177
0.865000,2231.1979
0.870000,2231.6786
0.875000,2232.1596
0.880000,2232.6410
0.885000,2233.1228
0.890000,2233.6049
0.895000,2234.0874
0.900000,2234.5703
0.905000,2235.0535
0.910000,2235.5372
0.915000,2236.0212
0.920000,2236.5055
0.925000,2236.9903
0.930000,2237.4754
0.935000,2237.9609
0.940000,2238.4468
0.945000,2238.9331
0.950000,2239.4197
0.955000,2239.9067
0.960000,2240.3941
0.965000,2240.8819
0.970000,2241.3701
0.975000,2241.8586
0.980000,2242.3475
0.985000,2242.8368
0.990000,2243.3265
0.995000,2243.8166
1.000000,2244.3070
1.005000,2244.7979
1.010000,2245.2891
1.015000,2245.7807
1.020000,2246.2727
1.025000,2246.7650
1.030000,2247.2578
1.035000,2247.7510
1.040000,2248.2445
1.045000,2248.7384
1.050000,2249.2327
1.055000,2249.7274
1.060000,2250.2225
1.065000,2250.7180
1.070000,2251.2139
1.075000,2251.7102
1.080000,2252.2068
1.085000,2252.7039
1.090000,2253.2013
1.095000,2253.6991
1.100000,2254.1974
1.105000,2254.6960
1.110000,2255.1950
1.115000,2255.6944
1.120000,2256.1942
1.125000,2256.6944
1.130000,2257.1951
1.135000,2257.6961
1.140000,2258.1975
1.145000,2258.6993
1.150000,2259.2015
1.155000,2259.7041
1.160000,2260.2071
1.165000,2260.7105
1.170000,2261.2143
1.175000,2261.7185
1.180000,2262.2231
1.185000,2262.7281
1.190000,2263.2335
1.195000,2263.7393
1.200000,2264.2455
1.205000,2264.7522
1.210000,2265.2592
1.215000,2265.7666
1.220000,2266.2745
1.225000,2266.7827
1.230000,2267.2914
1.235000,2267.8005
1.240000,2268.3100
1.245000,2268.8199
1.250000,2269.3302
1.255000,2269.8409
1.260000,2270.3520
1.265000,2270.8635
1.270000,2271.3755
1.275000,2271.8879
1.280000,2272.4006
1.285000,2272.9138
1.290000,2273.4274
1.295000,2273.9415
1.300000,2274.4559
1.305000,2274.9708
1.310000,2275.4860
1.315000,2276.0017
1.320000,2276.5178
1.325000,2277.0344
1.330000,2277.5513
1.335000,2278.0687
1.340000,2278.5865
1.345000,2279.1047
1.350000,2279.6233
1.355000,2280.1424
1.360000,2280.6619
1.365000,2281.1818
1.370000,2281.7021
1.375000,2282.2229
1.380000,2282.7440
1.385000,2283.2656
1.390000,2283.7877
1.395000,2284.3101
1.400000,2284.8330
1.405000,2285.3563
1.410000,2285.8801
1.415000,2286.4043
1.420000,2286.9289
1.425000,2287.4539
1.430000,2287.9794
1.435000,2288.5053
1.440000,2289.0316
1.445000,2289.5584
1.450000,2290.0856
1.455000,2290.6132
1.460000,2291.1413
1.465000,2291.6698
1.470000,2292.1988
1.475000,2292.7282
1.480000,2293.2580
1.485000,2293.7882
1.490000,2294.3189
1.495000,2294.8501
1.500000,2295.3817
1.505000,2295.9137
1.510000,2296.4461
1.515000,2296.9791
1.520000,2297.5124
1.525000,2298.0462
1.530000,2298.5804
1.535000,2299.1151
1.540000,2299.6502
1.545000,2300.1858
1.550000,2300.7218
1.555000,2301.2583
1.560000,2301.7952
1.565000,2302.3326
1.570000,2302.8704
1.575000,2303.4086
1.580000,2303.9474
1.585000,2304.4865
1.590000,2305.0261
1.595000,2305.5662
1.600000,2306.1067
1.605000,2306.6477
1.610000,2307.1891
1.615000,2307.7310
1.620000,2308.2734
1.625000,2308.8162
1.630000,2309.3594
1.635000,2309.9031
1.640000,2310.4473
1.645000,2310.9919
1.650000,2311.5370
1.655000,2312.0826
1.660000,2312.6286
1.665000,2313.1751
1.670000,2313.7220
1.675000,2314.2694
1.680000,2314.8173
1.685000,2315.3656
1.690000,2315.9144
1.695000,2316.4637
1.700000,2317.0134
1.705000,2317.5636
1.710000,2318.1142
1.715000,2318.6654
1.720000,2319.2170
1.725000,2319.7690
1.730000,2320.3216
1.735000,2320.8746
1.740000,2321.4281
1.745000,2321.9820
1.750000,2322.5365
1.755000,2323.0914
1.760000,2323.6467
1.765000,2324.2026
1.770000,2324.7589
1.775000,2325.3157
1.780000,2325.8730
1.785000,2326.4308
1.790000,2326.9890
1.795000,2327.5478
1.800000,2328.1070
1.805000,2328.6666
1.810000,2329.2268
1.815000,2329.7875
1.820000,2330.3486
1.825000,2330.9102
1.830000,2331.4723
1.835000,2332.0349
1.840000,2332.5980
1.845000,2333.1615
1.850000,2333.7256
1.855000,2334.2901
1.860000,2334.8552
1.865000,2335.4207
1.870000,2335.9867
1.875000,2336.5532
1.880000,2337.1202
1.885000,2337.6876
1.890000,2338.2556
1.895000,2338.8241
1.900000,2339.3931
1.905000,2339.9625
1.910000,2340.5325
1.915000,2341.1029
1.920000,2341.6739
1.925000,2342.2453
1.930000,2342.8173
1.935000,2343.3897
1.940000,2343.9627
1.945000,2344.5362
1.950000,2345.1101
1.955000,2345.6846
1.960000,2346.2595
1.965000,2346.8350
1.970000,2347.4110
1.975000,2347.9875
1.980000,2348.5645
1.985000,2349.1419
1.990000,2349.7200
1.995000,2350.2985
2.000000,2350.8775
2.005000,2351.4570
2.010000,2352.0371
2.015000,2352.6176
2.020000,2353.1987
2.025000,2353.7803
2.030000,2354.3624
2.035000,2354.9450
2.040000,2355.5282
2.045000,2356.1118
2.050000,2356.6960
2.055000,2357.2807
2.060000,2357.8659
2.065000,2963.4992
2.070000,2964.3987
2.075000,2965.2991
2.080000,2966.2006
2.085000,2967.1031
2.090000,2968.0065
2.095000,2968.9109
2.100000,2969.8164
2.105000,2970.7228
2.110000,2971.6303
2.115000,2972.5387
2.120000,2973.4482
2.125000,2367.3462
2.130000,2367.9404
2.135000,2368.5352
2.140000,2369.1305
2.145000,2369.7263
2.150000,2370.3226
2.155000,2370.9195
2.160000,2371.5169
2.165000,2372.1149
2.170000,2372.7134
2.175000,2373.3124
2.180000,2373.9120
2.185000,2374.5122
2.190000,2375.1128
2.195000,2375.7140
2.200000,2376.3158
2.205000,2376.9181
2.210000,2377.5210
2.215000,2378.1244
2.220000,2378.7283
2.225000,2379.3328
2.230000,2379.9379
2.235000,2380.5435
2.240000,2381.1496
2.245000,2381.7563
2.250000,2382.3636
2.255000,2382.9714
2.260000,2383.5798
2.265000,2384.1887
2.270000,2384.7982
2.275000,2385.4082
2.280000,2386.0188
2.285000,2386.6300
2.290000,2387.2417
2.295000,2387.8540
2.300000,2388.4668
2.305000,2389.0802
2.310000,2389.6942
2.315000,2390.3087
2.320000,2390.9238
2.325000,2391.5395
2.330000,2392.1558
2.335000,2392.7726
2.340000,2393.3899
2.345000,2394.0079
2.350000,2394.6264
2.355000,2395.2455
2.360000,2395.8652
2.365000,2396.4854
2.370000,2397.1062
2.375000,2397.7276
2.380000,2398.3496
2.385000,2398.9721
2.390000,2399.5952
2.395000,2400.2190
2.400000,2400.8432
2.405000,2401.4681
2.410000,2402.0936
2.415000,2402.7196
2.420000,2403.3462
2.425000,2403.9734
2.430000,2404.6012
2.435000,2405.2296
2.440000,2405.8585
2.445000,2406.4881
2.450000,2407.1182
2.455000,2407.7490
2.460000,2408.3803
2.465000,2409.0122
2.470000,2409.6447
2.475000,2410.2778
2.480000,2410.9115
2.485000,2411.5458
2.490000,2412.1807
2.495000,2412.8162
2.500000,2413.4523
2.505000,2414.0890
2.510000,2414.7263
2.515000,2415.3642
2.520000,2416.0027
2.525000,2416.6419
2.530000,2417.2816
2.535000,2417.9219
2.540000,2418.5628
2.545000,2419.2044
2.550000,2419.8465
2.555000,2420.4893
2.560000,2421.1326
2.565000,2421.7766
2.570000,2422.4212
2.575000,2423.0664
2.580000,2423.7123
2.585000,2424.3587
2.590000,2425.0058
2.595000,2425.6535
2.600000,2426.3018
2.605000,2426.9507
2.610000,2427.6002
2.615000,2428.2504
2.620000,2428.9012
2.625000,2429.5526
2.630000,2430.2046
2.635000,2430.8573
2.640000,2431.5106
2.645000,2432.1645
2.650000,2432.8191
2.655000,2433.4742
2.660000,2434.1301
2.665000,2434.7865
2.670000,2435.4436
2.675000,2436.1013
2.680000,2436.7597
2.685000,2437.4187
2.690000,2438.0783
2.695000,2438.7386
2.700000,2439.3995
2.705000,2440.0610
2.710000,2440.7232
2.715000,2441.3861
2.720000,2442.0495
2.725000,2442.7137
2.730000,2443.3784
2.735000,2444.0439
2.740000,2444.7099
2.745000,2445.3767
2.750000,2446.0440
2.755000,2446.7121
2.760000,2447.3808
2.765000,2448.0501
2.770000,2448.7201
2.775000,2449.3907
2.780000,2450.0620
2.785000,2450.7340
2.790000,2451.4066
2.795000,2452.0799
2.800000,2452.7539
2.805000,2453.4285
2.810000,2454.1038
2.815000,2454.7797
2.820000,2455.4563
2.825000,2456.1336
2.830000,2456.8115
2.835000,2457.4902
2.840000,2458.1695
2.845000,2458.8494
2.850000,2459.5301
2.855000,2460.2114
2.860000,2460.8934
2.865000,2461.5760
2.870000,2462.2594
2.875000,2462.9434
2.880000,2463.6281
